,song_name,category
0,Main Hoon Jhoom Jhoom Jhumroo,kishore kumar
1,Babu Samjho Ishare,kishore kumar
2,Eena Meena Deeka,kishore kumar
3,Samne Yeh Kaun Aaya ,kishore kumar
4,Mere Saamne Wali Khidki Mein,kishore kumar
5,Haal Kaisa Hai Janaab Ka,kishore kumar
6,Aa Chal Ke Tujhe,kishore kumar
7,Dil Kya Kare ,kishore kumar
8,Neele Neele Ambar Par,kishore kumar
9,Yeh Sham Mastani,kishore kumar
10,Jai Jai Shiv Shankar,kishore kumar
11,Gaata Rahe Mera Dil,kishore kumar
12,Meet Na Mila Re Mann Ka,kishore kumar
13,O Majhi Re,kishore kumar
14,Tere Mere Milan Ki Yeh Raina ,kishore kumar
15,Ek Ajanabee Haseena Se,kishore kumar
16,Mere Sapno Ki Rani,kishore kumar
17,Chhod Do Aanchal,kishore kumar
18,Keh Du Tumhe Ya Chup Rahu,kishore kumar
19,"CAT Cat, Cat Maane Billi",kishore kumar
20,Cheel Cheel Chilake,kishore kumar
21,Meri Pyari Bindu ,kishore kumar
22,Dekha Na Haye Re Socha Na,kishore kumar
23,Jaanu Meri Jaan,kishore kumar
24,Pyaar Deewana Hota Hai,kishore kumar
25,Raat Kali Ek Khwaab Mein Aayi,kishore kumar
26,Mana Janaab Ne Pukara Nahin,kishore kumar
27,Yeh Dil Na Hota Bechara,kishore kumar
28,Yeh Jawani Hai Diwani,kishore kumar
29,Hum The Woh Thi,kishore kumar
30,Rimjhim Gire Saawan,kishore kumar
31,Aap Yahan Aaye Kisliye,kishore kumar
32,Zindagi Ek Safar,kishore kumar
33,Pyaar Ke Pal,kk
34,Tu Aashiqui Hai,kk
35,Kya Mujhe Pyaar Hai,kk
36,Ek Nazar Mein Bhi,kk
37,Sajde Kiye Hai Lakho,kk
38,Aankhon Mein Teri Ajab Si,kk
39,Tere Sang Ek Simple Si Coffee,kk
40,Chhod Aaye Hum Woh Galiyan,kk
41,Dus Bahane Karke Le Gaye Dil,kk
42,Main Hoon Don,kk
43,Sach Keh Raha Hai Deewana,kk
44,Chale Jaise Hawaayein,kk
45,Kya Mujhe Pyaar Hai,kk
46,Kaise Bataoon,kk
47,Le Chale,kk
48,Dil Kyun Yeh Mera,kk
49,Dheel Dede Dheel Dede Re Bhaiya,kk
50,Style,kk
51,Banda Yeh Bindas Hai,kk
52,Yaaron,kk
53,Aashayein,kk
54,Ye Chand sa Roshan chehra,60 years of bollywood
55,Ae Dil Mujhe Bata De,60 years of bollywood
56,Aajkal Tere Mere Pyar Ke Charche,60 years of bollywood
57,Mere saamne waali khidki mein,60 years of bollywood
58,Khwab tum ya koi haqeeqat,60 years of bollywood
59,Chala jata hoon kisiki dhun mein,60 years of bollywood
60,Hai apna dil to aawara,60 years of bollywood
61,Dil deke dekho,60 years of bollywood
62,Tumsa nahi dekha,60 years of bollywood
63,Ude jab jab zulfe teri,60 years of bollywood
64,Shaam dhale khidki tale,60 years of bollywood
65,Shola jo bhadke,60 years of bollywood
66,Sar jo tera chakraaye,60 years of bollywood
67,Yeh dosti hum nahi todenge,60 years of bollywood
68,Ek ajnabee haseena se,60 years of bollywood
69,Yeh shaam mastani,60 years of bollywood
70,Ek din bik jayega maati ke mol,60 years of bollywood
71,Kya Hua Tera Vada,60 years of bollywood
72,Dil Dhundta Hai,60 years of bollywood
73,Hum dono do premi,60 years of bollywood
74,Kanchi re kanchi,60 years of bollywood
75,Kabhie kabhie mere dil mein,60 years of bollywood
76,Ban than chali,60 years of bollywood
77,Anjaani raahon mein,60 years of bollywood
78,Dil hai chota sa,60 years of bollywood
79,Haye re haye,60 years of bollywood
80,Tum paas aaye,60 years of bollywood
81,Na tum jaano na hum,60 years of bollywood
82,Main koi aisa geet,60 years of bollywood
83,Pehla nasha,60 years of bollywood
84,Allah ke bande,60 years of bollywood
85,Iktara,60 years of bollywood
86,Yuh hi chala chal,60 years of bollywood
87,Kabira,60 years of bollywood
88,Purani Jeans (1993),friendship songs
89,Dum Laga Dum Laga,friendship songs
90,Yaaron (1999),friendship songs
91,Pal (1999),friendship songs
92,Roobaroo (2005),friendship songs
93,Aazadiyan (2010),friendship songs
94,Dil Dhadakne Do (2011),friendship songs
95,Give Me Some Sunshine (2009),friendship songs
96,Koi Kahe Kehta Rahe (2001),friendship songs
97,Koi Mil Gaya (1998),friendship songs
98,Aaj Kal Zindagi (2009),friendship songs
99,Aal Izz Well (2009),friendship songs
100,Jo Jeeta Wohi Sikandar  (1992),friendship songs
101,Rock On (2008),friendship songs
102,Behti Hawa Sa Tha Woh (2009),friendship songs
103,Yaar Mod Do (2016),friendship songs
